state,x,y
Andaman and Nicobar ,239,-261
Andhra Pradesh,-79,-202
Arunachal Pradesh,281,115
Assam,235,77
Bihar,73,60
Chandigarh,-127,189
Chhattisgarh,-16,-46
Dadra And Nagar Haveli,-214,-76
Daman And Diu,-214,-76
Delhi,-132,146
Goa,-191,195
Gujarat,237,-11
Haryana,-142,141
Himachal Pradesh,-115,234
Jammu and Kashmir,-153,288
Jharkhand,64,7
Karnataka,-159,-199
Kerala,-137,-313
Lakshadweep,-220,-308
Madhya Pradesh,103,8
Maharashtra,-152,-89
Manipur,269,42
Meghalaya,195,53
Mizoram,237,-1
Nagaland,284,72
Orissa,56,65
Puducherry,-60,-275
Punjab,-159,191
Rajasthan,-177,77
Sikkim,141,104
Tamil Nadu,-90,-273
Tripura,216,4
Uttar Pradesh,-14,94
Uttarakhand,-67,180
West Bengal,128,6
Telangana,-82,-133
